;;;Aufgabe;;Minimalfahrplan;wichtigkeit;Teste Dich;AFB I;AFB II;AFB III;Grundwissen;K1;K2;K3;K4;K5;K6
;1;8;19;;;;;;1;;;;1;;;;
;1;8;20;;;;;;1;;;;1;;;;
;1;8;21;;;;;;1;;;;;;;;1
;1;8;22;;1;-5;;;1;;;;1;;1;;
;1;8;23;;;;;;1;;;;1;;;;
;1;8;24;;;;;;1;;;1;;;;1;
;1;8;25;;;;;;1;;;;1;;;1;
;1;8;26;;1;;;;1;;;;1;;;;
;1;8;27;;1;;;;1;;;;1;;;1;
;1;8;28;;;;;;1;;;;1;;;;
;1;8;29;;;;;;1;;;;1;;;1;
;1;8;30;;1;;;1;;;;;1;;;;
;1;8;31;;1;;;1;;;;;1;;;1;
;1;8;32;;1;;;1;;;;;1;;;;
;1;8;33;;;;;;;1;;1;1;;;;1
;1;8;34;;1;;;;;1;;;1;;;;
;1;8;35;;;;;;;;1;;1;1;;;
;1;9;;Periodische Dezimalbrüche;;;;;;;;;;;;;
;1;9;1;;1;-5;;1;;;;;;;;1;
;1;9;2;;;;;1;;;;;;;;1;
;1;9;3;;;-5;;1;;;;;;;;1;
;1;9;4;;;;;1;;;;;1;;;;
;1;9;5;;1;-5;;1;;;;;1;;;1;
;1;9;6;;;;;1;;;;;;;;1;
;1;9;7;;1;;1;;;;;;;;;1;
;1;9;8;;1;;1;;;;;;1;;;1;
;1;9;9;;;;;;1;;;;;;;1;
;1;9;10;;;;;;1;;;;1;;;1;
;1;9;11;;;;;;1;;;;;;;;1
;1;9;12;;1;;;;1;;;;1;;;;
;1;9;13;;1;;;;1;;;1;;1;;;
;1;9;14;;;-5;;;1;;;;1;;;;1
;1;9;15;;1;;;;1;;;;1;;;1;
;1;9;16;;;;;;1;;;;1;;;1;
;1;9;17;;1;;1;;;;;;1;;;;1
;1;9;18;;1;;1;;;;;;1;;1;1;
;1;9;19;;;;;;;1;;;;1;;1;
;1;9;20;;;;;;;;1;;;;1;1;
;1;WVV;;Wiederholen - Vertiefen - Vernetzen;;;;;;;;;;;;;
;1;Wiederholen;1;;;;;1;;;;;;;;1;
;1;Wiederholen;2;;;;;1;;;;;;1;;;
;1;Wiederholen;3;;;;;1;;;;;;;;;
;1;Wiederholen;4;;;;;1;;;;;;;;1;
;1;Wiederholen;5;;;;;1;;;;;;;;1;
;1;Wiederholen;6;;;;;1;;;;;1;;;;
;1;Wiederholen;7;;;-2;;1;;;;;1;;;1;
;1;Wiederholen;8;;;;;1;;;;;1;;;;
;1;Wiederholen;9;;;;;1;;;;;1;;1;;
;1;Wiederholen;10;;;;;1;;;;;;;1;;
;1;Wiederholen;11;;;;;1;;;;;1;;;;
;1;Wiederholen;12;;;;;1;;;;;;1;1;;
;1;Wiederholen;13;;;;;;1;;;;;;;1;
;1;Wiederholen;14;;;;;;1;;;;1;;1;;
;1;Wiederholen;15;;;;;;1;;;;;1;;;
;1;Wiederholen;16;;;;;;1;;;;1;1;;;
;1;Wiederholen;17;;;;;;1;;;;1;;;;
;1;Wiederholen;18;;;-2;;;1;;;;;;1;1;
;1;Wiederholen;19;;;;;;1;;;;1;;;;
;1;Wiederholen;20;;;;;;1;;;;1;;;1;
;1;Wiederholen;21;;;;;;1;;;;;1;;;1
;1;Wiederholen;22;;;-2;;;1;;;1;1;;;;
;1;Wiederholen;23;;;;;;1;;;;1;;;1;
;1;Wiederholen;24;;;;;;1;;;;;;1;;1
;1;Wiederholen;25;;;;;;1;;;;1;1;;;
;1;Wiederholen;26;;;;;;1;;;;1;;;;
;1;Wiederholen;27;;;;;;1;;;;;1;;;1
;1;Wiederholen;28;;;;;;;1;;1;1;;;;
;1;Wiederholen;29;;;;;;;1;;1;1;;;;
;1;Wiederholen;30;;;;;;;1;;;1;1;;;
;1;Wiederholen;31;;;;;;;1;;;1;;1;;
;1;Wiederholen;32;;;;;;;1;;;1;;;;1
;1;Wiederholen;33;;;;;;;1;;1;;;;;1
;1;Teste dich!;;Teste Dich!;;;;;;;;;;;;;
;1;Teste dich;1;;;;;;;;;;1;;;1;
;1;Teste dich;2;;;;;;;;;;1;;;;
;1;Teste dich;3;;;;;;;;;;;;;1;
;1;Teste dich;4;;;;;;;;;;1;;;1;
;1;Teste dich;5;;;;;;;;;;1;;;1;
;1;Teste dich;6;;;;;;;;;;1;;;;
;1;Teste dich;7;;;;;;;;;1;;1;;;
;1;Teste dich;8;;;;;;;;;;1;;1;;
;1;Teste dich;9;;;;;;;;;;1;;;;
;1;Teste dich;10;;;;;;;;;;;;;1;
;1;Teste dich;11;;;;;;;;;;1;;1;1;
;1;Teste dich;12;;;;;;;;;;;1;;1;
;1;Teste dich;13;;;;;;;;;;;;1;1;
;1;Teste dich;14;;;;;;;;;;1;;;1;
;2;;;Addition und Subtraktion von Brüchen;;;;;;;;;;;;;
;2;1;;Addieren und Subtrahieren gleichnahmniger Brüche;;;;;;;;;;;;;
;2;1;1;;1;;;;;;;;;;;1;
;2;1;2;;1;;;;;;;;;;1;;
;2;1;3;;;;;;;;;;;;;1;
;2;1;4;;1;;;;;;;;;;;1;
;2;1;5;;1;;;;;;;;;;1;;
;2;1;6;;;;;;;;;;;;1;;
;2;1;7;;;;;;;;;;;1;;;1
;2;1;8;;;;;;;;;1;;;;;
;2;1;9;;1;;;;;;;;1;;;;
;2;1;10;;1;;;;;;;;1;;;1;
;2;1;11;;;;;;;;;;1;;;;
;2;1;12;;;;;;;;;;;;;1;
;2;2;;Addieren und Subtrahieren ungleichnahmiger Brüche;;;;;;;;;;;;;
;2;2;1;;1;;;;;;;;;;;1;
;2;2;2;;1;;;;;;;;1;;;;1
;2;2;3;;1;;;;;;;1;;;;;
;2;2;4;;;;;;;;;;;;;1;
;2;2;5;;;;;;;;;;;;;1;
;2;2;6;;1;;;;;;;;;;;1;
;2;2;7;;;;;;;;;;;;1;;
;2;2;8;;;;;;;;;1;;1;;;
;2;2;9;;1;;;;;;;1;;;;1;
;2;2;10;;1;;;;;;;;;;;;1
;2;2;11;;1;;;;;;;;;;;1;
;2;2;12;;1;;;;;;;1;;;;;
;2;2;13;;;;;;;;;;;1;;1;
;2;2;14;;;;;;;;;;;;1;1;
;2;2;15;;;;;;;;;1;1;1;;;
;2;2;16;;1;;;;;;;1;;;;;1
;2;2;17;;1;;;;;;;;;;;1;
;2;2;18;;1;;;;;;;;1;1;;;
;2;2;19;;;;;;;;;;;;;1;
;2;2;20;;1;;;;;;;;;;1;1;
;2;2;21;;;;;;;;;;;;1;;
;2;2;22;;1;;;;;;;;;1;;;
;2;2;23;;;;;;;;;;1;;;;
;2;2;24;;;;;;;;;1;;;;;
;2;2;25;;;;;;;;;;1;;;1;
;2;2;26;;;;;;;;;;1;1;;;
;2;2;27;;1;;;;;;;;;;;;1
;2;2;28;;1;;;;;;;;;;;1;
;2;2;29;;1;;;;;;;;1;;;;
;2;2;30;;;;;;;;;;1;;;;
;2;2;31;;;;;;;;;;1;;;;
;2;2;32;;;;;;;;;1;;;;1;
;2;2;33;;;;;;;;;;;;;1;
;2;3;;Addieren und Subtrahieren gemischter Zahlen;;;;;;;;;;;;;
;2;3;1;;1;;;;;;;;;;;1;
;2;3;2;;;;;;;;;;1;;;1;
;2;3;3;;1;;;;;;;;;;1;1;
;2;3;4;;;;;;;;;;;;;1;1
;2;3;5;;1;;;;;;;;;1;;1;
;2;3;6;;1;;;;;;;;;;;1;
;2;3;7;;1;;;;;;;;;1;;1;
;2;3;8;;1;;;;;;;;;;;;1
;2;3;9;;1;;;;;;;;1;;;1;
;2;3;10;;1;;;;;;;;1;1;;1;
;2;3;11;;;;;;;;;;1;;;1;
;2;3;12;;;;;;;;;;;;;1;1
;2;3;13;;;;;;;;;1;;;;;
;2;3;14;;1;;;;;;;1;;;;1;
;2;3;15;;1;;;;;;;;;;;;
;2;3;16;;;;;;;;;;1;;;1;
;2;3;17;;;;;;;;;1;;;1;;
;2;4;;Addieren und Subtrahieren von Dezimalbrüchen;;;;;;;;;;;;;
;2;4;1;;1;;;;;;;;;;;1;
;2;4;2;;1;;;;;;;;;;;1;
;2;4;3;;;;;;;;;1;;;;1;
;2;4;4;;1;;;;;;;;1;1;;1;
;2;4;5;;;;;;;;;;;;1;;
;2;4;6;;1;;;;;;;1;;;;;1
;2;4;7;;1;;;;;;;;;;;1;
;2;4;8;;1;;;;;;;;;1;;1;
;2;4;9;;;;;;;;;;1;;;;
;2;4;10;;;;;;;;;;;;;1;
;2;4;11;;;;;;;;;1;;;;;1
;2;4;12;;;;;;;;;1;;;;;
;2;4;13;;;;;;;;;1;;;1;;
;2;4;14;;;;;;;;;;;;1;;1
;2;4;15;;;;;;;;;;;1;;1;
;2;4;16;;1;;;;;;;;;;1;1;
;2;4;17;;1;;;;;;;1;1;1;;1;
;2;4;18;;;;;;;;;;1;;;;
;2;4;19;;1;;;;;;;;1;;;;
;2;4;20;;1;;;;;;;1;1;;;;
;2;4;21;;;;;;;;;;1;;;;
;2;4;22;;;;;;;;;;1;;;;1
;2;4;23;;;;;;;;;;;;;1;
;2;WVV;;Wiederholen - Vertiefen - Vernetzen;;;;;;;;;;;;;
;2;Wiederholen;1;;;;;;;;;;;;;1;
;2;Wiederholen;2;;;;;;;;;;;;1;1;1
;2;Wiederholen;3;;;;;;;;;;;;;1;1
;2;Wiederholen;4;;;;;;;;;;;1;;1;
;2;Wiederholen;5;;;;;;;;;1;;1;;;
;2;Wiederholen;6;;;;;;;;;;1;;;1;
;2;Wiederholen;7;;;;;;;;;1;1;;;;1
;2;Wiederholen;8;;;;;;;;;;1;;;1;
;2;Wiederholen;9a;;;;;;;;;;1;;1;;1
;2;Wiederholen;9b;;;;;;;;;;1;;1;;
;2;Wiederholen;10;;;;;;;;;1;;;1;1;
;2;Wiederholen;11;;;;;;;;;;1;;;;1
;2;Wiederholen;12;;;;;;;;;1;1;;1;;
;2;Wiederholen;13;;;;;;;;;1;1;;;;
;2;Teste dich;;Teste Dich!;;;;;;;;;;;;;
;2;Teste dich;1;;;;;;;;;;;;;1;
;2;Teste dich;2;;;;;;;;;;;;;;1
;2;Teste dich;3a;;;;;;;;;;;1;;1;
;2;Teste dich;3b;;;;;;;;;1;1;;;;
;2;Teste dich;4;;;;;;;;;;;;;1;
;2;Teste dich;5;;;;;;;;;1;;;;;1
;2;Teste dich;6;;;;;;;;;;;;1;;1
;2;Teste dich;7;;;;;;;;;1;1;;;1;
;2;Teste dich;8;;;;;;;;;;1;;;1;
;2;Teste dich;9;;;;;;;;;;1;1;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;3;0;;Multiplikation und Division von Brüchen;;;;;;;;;;;;;
;3;;;Check In;;;;;;;;;;;;;
;3;;;Rechnen mit ganzen Zahlen;;;;;;;;;;;;;
;3;;;Rechengesetze;;;;;;;;;;;;;
;3;;;Brüche umwandeln;;;;;;;;;;;;;
;3;;;Erweitern / Kürzen;;;;;;;;;;;;;
;3;;;Brüche addieren;;;;;;;;;;;;;
;3;1;;Vervielfachen und Teilen von Brüchen (4 Aufgaben);;;;;;;;;;;;;
;3;1;1;;1;;;1;;;;;;;;1;
;3;1;2;;1;;;1;;;;;;;;1;
;3;1;3;;1;;;1;;;;;;1;;;
;3;1;4;;;;;1;;;;;1;;;;1
;3;1;5;;1;;;1;;;;;;;;1;
;3;1;6;;1;;;1;;;;;1;;;;
;3;1;7;;;;;1;;;;;;1;;;
;3;1;8;;1;;;1;;;;;;;;1;1
;3;1;9;;1;;1;;;;;;;;;1;
;3;1;10;;1;;1;;;;;;;1;;;
;3;1;11;;;;;;1;;;1;;;1;;1
;3;1;12;;;;;;1;;;;1;;1;;
;3;1;13;;1;;;;1;;;;;;;1;
;3;1;14;;;;;;1;;;;1;;;;
;3;1;15;;;;;;1;;;;1;;;;
;3;1;16;;1;;;;1;;;;;;;1;
;3;1;17;;;;;;1;;;;;1;;;
;3;1;18;;1;;;;1;;;1;;1;;;
;3;1;19;;1;;;;1;;;;;1;;;
;3;1;20;;1;;1;;;;;;1;;;;
;3;1;21;;1;;1;;;;;1;;1;;;
;3;1;22;;;;;;;1;;;1;1;;;
;3;1;23;;;;;;;;1;;;;;1;
;3;2;;Multiplizieren von Brüchen (6 Aufgaben);;;;;;;;;;;;;
;3;2;1;;1;;;1;;;;;;;;1;
;3;2;2;;1;-10;;1;;;;;;;;1;
;3;2;3;;1;;;1;;;;;1;;;;1
;3;2;4;;;;;1;;;;;1;;1;;1
;3;2;5;;;;;1;;;;;1;;1;;1
;3;2;6;;;;;1;;;;;1;;;;1
;3;2;7;;1;-10;;1;;;;;;1;;;
;3;2;8;;;;;1;;;;;;1;;;1
;3;2;9;;1;;;1;;;;;;1;;;
;3;2;10;;1;;1;;;;;;;;;1;
;3;2;11;;1;;1;;;;;1;;;1;;1
;3;2;12;;1;;1;;;;;;1;;;;
;3;2;13;;1;-10;;;1;;;;1;;1;;
;3;2;14;;;;;;1;;;;;;;1;
;3;2;15;;1;;;;1;;;;;;;1;
;3;2;16;;;;;;1;;;1;;;;1;1
;3;2;17;;;;;;1;;;;;;1;1;
;3;2;18;;;;;;1;;;1;;;;;
;3;2;19;;;;;;1;;;1;;;;1;
;3;2;20;;1;;;;1;;;;1;;;;
;3;2;21;;;;;;1;;;;;1;;;
;3;2;22;;1;;;;1;;;;1;;;;
;3;2;23;;1;;1;;;;;;1;;1;;
;3;2;24;;1;;1;;;;;;;1;;;
;3;2;25;;;;;;;1;;;1;;;;
;3;2;26;;;;;;;;1;;1;;;;
