;;;Aufgabe;;Minimalfahrplan;wichtigkeit;Teste Dich;AFB I;AFB II;AFB III;Grundwissen;K1;K2;K3;K4;K5;K6
;7;6;6a,b;;1;;;;;;;;;;1;1;
;7;6;6c;;1;;;;;;;;1;;;;
;7;6;7a;;1;;;;;;;;1;;;;
;7;6;7b;;1;;;;;;;1;;;;1;
;7;6;8;;1;;;;;;;;1;;;1;
;7;6;9;;1;;;;;;;1;;;;;
;7;6;10;;;;;;;;;;1;;;1;
;7;6;11;;;;;;;;;1;;;;;
;7;6;12;;1;;;;;;;1;;1;;;
;7;6;13;;1;;;;;;;;1;1;;1;
;7;6;14;;1;;;;;;;;1;1;;;
;7;6;15;;;;;;;;;1;1;;;1;1
;7;6;16;;;;;;;;;;;;;1;
;7;Wiederholen;1;;;;;;;;;;1;;;1;
;7;Wiederholen;2;;;;;;;;;;;;1;1;
;7;Wiederholen;3;;;;;;;;;;;;1;;1
;7;Wiederholen;4;;;;;;;;;;1;;1;;
;7;Wiederholen;5;;;;;;;;;;;;1;1;
;7;Wiederholen;6;;;;;;;;;;;1;1;;
;7;Wiederholen;7;;;;;;;;;;;1;1;1;
;7;Wiederholen;8;;;;;;;;;;1;;;;1
;7;Wiederholen;9;;;;;;;;;1;1;;;;
;7;Wiederholen;10;;;;;;;;;;;;1;1;
;7;Wiederholen;11;;;;;;;;;;;1;;1;
;7;Wiederholen;12;;;;;;;;;1;;;;;
;7;Wiederholen;13;;;;;;;;;1;;1;;;1
;7;Wiederholen;14;;;;;;;;;1;;;1;;
;7;Wiederholen;15;;;;;;;;;;1;;;1;1
;7;Wiederholen;16;;;;;;;;;;1;;1;1;
;7;Wiederholen;17;;;;;;;;;1;;;1;;1
;7;Wiederholen;18;;;;;;;;;;1;;1;;
;7;Wiederholen;19;;;;;;;;;;;1;1;;
;7;Wiederholen;20;;;;;;;;;;;;1;;1
;7;Teste dich;1;;;;;;;;;;;;;1;
;7;Teste dich;2;;;;;;;;;1;;;;;1
;7;Teste dich;3;;;;;;;;;;;;1;1;
;7;Teste dich;4;;;;;;;;;;;;1;1;
;7;Teste dich;5;;;;;;;;;;;1;1;;
;7;Teste dich;6;;;;;;;;;;1;1;;;
;7;Teste dich;7;;;;;;;;;;1;;;1;
;7;Teste dich;8;;;;;;;;;1;1;;;;
;7;Teste dich;9;;;;;;;;;;;1;1;;
;7;Teste dich;10;;;;;;;;;;1;1;;1;
